RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000028311,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000028312,Unknown,Church/Synagogue/Temple,Anti-Protestant,Religion
CA00-0000028313,Hispanic,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028314,Unknown,School-College/University,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000028315,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000028316,Black or African American,Other/Unknown,Anti-Lesbian,Sexual Orientation
CA00-0000028317,Unknown,School-College/University,Anti-Jewish,Religion
CA00-0000028318,Unknown,School-College/University,Anti-Jewish,Religion
CA00-0000028319,White,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA00-0000028320,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000028321,White,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000028322,White,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000028323,Asian/Pacific Islander,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000028324,White,Convenience Store,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028325,White,School-Elementary/Secondary,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000028327,Unknown,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry
CA00-0000028329,Unknown,Residence/Home/Driveway,Anti-Multiple Religions (Group),Religion
CA00-0000028330,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000028331,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028332,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000028333,White,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028334,White,Restaurant,Anti-Islamic (Muslim),Religion
CA00-0000028335,White,Community Center,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000028336,Hispanic,Air/Bus/Train Terminal,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000028337,Unknown,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028338,Unknown,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
