RecordID,MonthOccurrence,SuspectsRaceAsAGroup,MostSeriousUCR,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000020798,1,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020808,1,White,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020809,2,Hispanic,Aggravated Assault,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020810,2,Unknown,Intimidation,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020812,2,Hispanic,Aggravated Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020817,1,White,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020824,1,Unknown,Destruction/Damage/Vandalism,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020825,1,Hispanic,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020827,1,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020828,1,Unknown,Destruction/Damage/Vandalism,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000020830,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020831,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020832,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020833,1,Group of Multiple Races,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020835,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020836,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020837,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020840,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020841,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020842,2,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020843,2,Group of Multiple Races,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020844,2,Unknown,Destruction/Damage/Vandalism,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020845,2,Hispanic,Intimidation,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020846,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Jewish,Religion
CA00-0000020847,2,Hispanic,Simple Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020848,2,White,Simple Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020849,2,White,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020850,2,Asian/Pacific Islander,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Protestant,Religion
CA00-0000020854,2,White,Arson,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000020855,2,Unknown,Arson,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000020856,1,Unknown,Intimidation,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020857,2,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020858,2,Hispanic,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020859,2,White,Simple Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020860,2,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020862,2,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020863,2,Hispanic,Intimidation,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020864,2,Unknown,Intimidation,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000020869,2,Group of Multiple Races,Simple Assault,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020871,2,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020872,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020873,2,Hispanic,Intimidation,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA00-0000020874,2,Hispanic,Intimidation,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020875,2,Unknown,Destruction/Damage/Vandalism,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000020876,2,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020877,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000020878,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000020879,2,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020880,2,White,Simple Assault,Jail/Prison,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020881,2,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020882,2,Hispanic,Aggravated Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020883,2,Unknown,Destruction/Damage/Vandalism,Parking Lot/Garage,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020884,2,Hispanic,Aggravated Assault,Jail/Prison,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020885,2,Unknown,Intimidation,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020886,2,White,Robbery,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020887,2,Black or African American,Aggravated Assault,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020888,2,Hispanic,Simple Assault,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020890,2,White,Destruction/Damage/Vandalism,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020891,2,White,Aggravated Assault,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020892,2,Unknown,Destruction/Damage/Vandalism,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020894,3,Unknown,Intimidation,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000020896,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Protestant,Religion
CA00-0000020897,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020898,2,Black or African American,Simple Assault,Grocery/Supermarket,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020899,2,Unknown,Simple Assault,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000020900,2,Hispanic,Intimidation,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020901,2,Unknown,Intimidation,Bar/Night Club,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020902,2,White,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020903,2,Unknown,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020904,1,White,Simple Assault,Field/Woods/Park,Anti-Lesbian,Sexual Orientation
CA00-0000020906,1,White,Intimidation,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020908,1,Hispanic,Intimidation,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020910,3,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020911,2,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020914,3,Hispanic,Aggravated Assault,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation
CA00-0000020915,1,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020917,2,Group of Multiple Races,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020918,2,White,Simple Assault,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020919,3,Black or African American,Robbery,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000020920,2,White,Burglary,Convenience Store,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000020921,3,White,Simple Assault,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000020922,3,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020923,3,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Jewish,Religion
CA00-0000020924,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020925,3,White,Simple Assault,Bank/Savings and Loan,Anti-Jewish,Religion
CA00-0000020928,2,Hispanic,Robbery,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000020929,3,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000020930,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000020931,2,Hispanic,Aggravated Assault,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000020932,1,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020933,2,Hispanic,Aggravated Assault,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020934,1,Unknown,Burglary,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020935,3,Black or African American,Motor Vehicle Theft,Department/Discount Store,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020936,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020937,2,White,Simple Assault,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020938,3,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020939,2,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020940,1,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020941,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020942,3,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Jewish,Religion
CA00-0000020943,3,Black or African American,Intimidation,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020944,3,Unknown,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020945,4,Unknown,Aggravated Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020947,3,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020948,3,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000020950,3,White,Intimidation,Air/Bus/Train Terminal,Anti-Islamic (Muslim),Religion
CA00-0000020951,3,White,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020952,1,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Jewish,Religion
CA00-0000020953,2,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020954,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA00-0000020955,1,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020956,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020957,2,White,Aggravated Assault,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020958,1,Black or African American,Aggravated Assault,Church/Synagogue/Temple,Anti-Gay (Male),Sexual Orientation
CA00-0000020959,1,Unknown,Aggravated Assault,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000020960,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000020961,2,Unknown,Destruction/Damage/Vandalism,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020962,2,Unknown,Intimidation,Residence/Home/Driveway,Anti-Heterosexual,Sexual Orientation
CA00-0000020963,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020964,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020965,1,Black or African American,Aggravated Assault,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020966,3,Unknown,Arson,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020967,2,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020968,3,Unknown,Destruction/Damage/Vandalism,Highway/Road/Alley/Street,Anti-Other Religion,Religion
CA00-0000020969,3,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020970,3,Unknown,Intimidation,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020971,3,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020972,3,Black or African American,Aggravated Assault,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020973,3,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020974,3,Hispanic,Robbery,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000020975,3,White,Intimidation,Grocery/Supermarket,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020976,3,White,Simple Assault,Jail/Prison,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020977,3,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020978,3,Unknown,Destruction/Damage/Vandalism,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020979,3,Hispanic,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020980,3,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020981,3,Hispanic,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020982,3,Unknown,Burglary,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000020983,3,Hispanic,Aggravated Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020984,3,Unknown,Destruction/Damage/Vandalism,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000020986,4,Black or African American,Aggravated Assault,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020987,3,White,Destruction/Damage/Vandalism,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000020988,1,Unknown,Destruction/Damage/Vandalism,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020989,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020990,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020991,1,Unknown,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020992,2,White,Simple Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020993,2,White,Intimidation,Jail/Prison,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020994,1,Hispanic,Simple Assault,Service/Gas Station,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020995,1,White,Aggravated Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020996,2,White,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000020997,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Catholic,Religion
CA00-0000020998,2,White,Aggravated Assault,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020999,2,Unknown,Intimidation,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021000,1,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021001,1,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021002,2,Black or African American,Simple Assault,School/college,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021004,1,White,Intimidation,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021005,1,White,Intimidation,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021006,2,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Jewish,Religion
CA00-0000021007,3,White,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021008,3,Unknown,Destruction/Damage/Vandalism,Field/Woods/Park,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000021009,3,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Jewish,Religion
CA00-0000021010,2,Hispanic,Aggravated Assault,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021011,2,White,Intimidation,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021012,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021013,4,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021014,2,Black or African American,Simple Assault,School/college,Anti-Gay (Male),Sexual Orientation
CA00-0000021015,2,Black or African American,Simple Assault,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000021016,1,White,Intimidation,Grocery/Supermarket,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000021017,2,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000021018,2,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021019,2,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000021020,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021021,1,Unknown,Intimidation,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000021022,2,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021023,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Multiple Religions (Group),Religion
CA00-0000021024,2,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000021025,1,Unknown,Intimidation,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry
CA00-0000021026,2,Black or African American,Simple Assault,Department/Discount Store,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021027,2,Hispanic,Simple Assault,Convenience Store,Anti-Lesbian,Sexual Orientation
CA00-0000021028,1,White,Simple Assault,Bar/Night Club,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021029,2,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Jewish,Religion
CA00-0000021030,2,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Jewish,Religion
CA00-0000021031,2,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Jewish,Religion
CA00-0000021033,1,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021034,1,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000021035,1,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Protestant,Religion
CA00-0000021036,1,White,Simple Assault,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000021037,2,White,Simple Assault,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000021038,1,White,Simple Assault,Jail/Prison,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021039,1,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021040,2,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000021041,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Multiple Religions (Group),Religion
CA00-0000021042,2,Hispanic,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021043,1,White,Intimidation,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021045,4,Hispanic,Robbery,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021046,4,Hispanic,Destruction/Damage/Vandalism,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000021055,1,Group of Multiple Races,Aggravated Assault,Bar/Night Club,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021056,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Lesbian,Sexual Orientation
CA00-0000021057,4,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021058,2,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021059,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000021060,1,Unknown,Destruction/Damage/Vandalism,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021061,1,White,Simple Assault,School/college,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000021062,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021063,2,White,Simple Assault,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000021064,2,Hispanic,Intimidation,Restaurant,Anti-Gay (Male),Sexual Orientation
CA00-0000021065,2,Hispanic,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021066,4,Unknown,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021067,1,Unknown,Destruction/Damage/Vandalism,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021068,2,White,Intimidation,Parking Lot/Garage,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000021069,2,Unknown,Intimidation,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021071,2,Group of Multiple Races,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021072,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021073,4,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021074,4,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021075,4,Hispanic,Simple Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021076,4,Hispanic,Robbery,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021077,4,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021078,4,Unknown,Aggravated Assault,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000021079,4,Unknown,Intimidation,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021080,4,Asian/Pacific Islander,Aggravated Assault,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000021081,4,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021083,4,Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021084,3,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000021085,3,Unknown,Intimidation,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
