record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000011794,Black or African American,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000011983,Unknown,Church/Synagogue/Temple,Anti-Catholic,Religion
CA00-0000012172,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000012176,Asian/Pacific Islander,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000012316,Group of Multiple Races,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000012469,Hispanic,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000012474,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000012479,Unknown,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012663,Unknown,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012668,Unknown,Grocery/Supermarket,Anti-White,Race/Ethnicity/Ancestry
CA00-0000012672,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000012885,White,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation
CA00-0000012889,Group of Multiple Races,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012893,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000012988,White,Restaurant,Anti-Gay (Male),Sexual Orientation
CA00-0000012998,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000013004,East Indian,Restaurant,Anti-Gay (Male),Sexual Orientation
CA00-0000013026,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000013206,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000013210,Unknown,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013214,White,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013229,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000013279,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013283,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013296,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013479,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013493,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000013617,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000013624,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000013692,Unknown,School/college,Anti-Lesbian,Sexual Orientation
CA00-0000013696,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000013730,Black or African American,Government/Public Building,Anti-White,Race/Ethnicity/Ancestry
CA00-0000013734,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013881,White,Commercial/Office Building,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000013885,Black or African American,Restaurant,Anti-White,Race/Ethnicity/Ancestry
CA00-0000014192,White,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000014205,Black or African American,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation
CA00-0000014218,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014225,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014606,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000014615,Asian/Pacific Islander,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry
CA00-0000014620,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000014628,Hispanic,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000014635,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000014651,Unknown,School/college,Anti-White,Race/Ethnicity/Ancestry
CA00-0000014657,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000014875,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000015698,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000015705,Black or African American,Air/Bus/Train Terminal,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000015710,White,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000015720,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000015797,Unknown,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016119,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016126,Hispanic,Drug Store/Dr Office/Hospital,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016139,Black or African American,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000016147,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016151,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
